VAT Number,Company Name,Verified,Verified Name,Check Name,Verified Address,Date Checked,Comment
GB100003864,GEORGE CARTER (PRESSINGS) LTD.,false,,OK,,2017-02-24T00:00:00,Invalid VAT number valid format=GBXX999NNNNNNN
GB145260976,FEDERAL MOGUL (Chapel),true,FEDERAL-MOGUL LIMITED,NO MATCH,MANCHESTER INT OFFICE CENTRESTYAL ROADMANCHESTERM22 5TN,2017-02-24T00:00:00,
GB178686694,GT Precision Products Limited,true,G T EMISSIONS SYSTEMS LIMITED,PARTIAL,UNIT 3 TRAYNOR WAYWHITEHOUSE BUSINESS PARKPETERLEECOUNTY DURHAMSR8 2RU,2017-02-24T00:00:00,
GB306406390,Ewen Engineering Ltd,true,EADIE INDUSTRIES LIMITED,NO MATCH,ROSCOE ROADSHEFFIELDS3 7DZ,2017-02-24T00:00:00,
GB307663261,WABCO Automotive U.K.,true,WABCO AUTOMOTIVE UK LTD,PARTIAL,UNIT A1GRANGE VALLEYGRANGE VALLEY ROADBATLEYWF17 6GH,2017-02-24T00:00:00,
GB307663261,WABCO AUTOMOTIVE UK LTD.,true,WABCO AUTOMOTIVE UK LTD,OK,UNIT A1GRANGE VALLEYGRANGE VALLEY ROADBATLEYWF17 6GH,2017-02-24T00:00:00,
GB370173667,Allen Group Limited,true,REFLEX&ALLEN UK LIMITED,NO MATCH,PHOENIX HOUSEKINMEL PARK INDUSTRIAL ESTATEBODELWYDDANCLWYDLL18 5TY,2017-02-24T00:00:00,
GB398264601,TT Electronics Ltd,true,B I TECHNOLOGIES LTD,PARTIAL,TELFORD ROADEASTFIELD ESTATEGLENROTHESFIFEKY7 4NX,2017-02-24T00:00:00,
GB491150166,Ceetak Ltd.,true,CEETAK LTD,OK,FRASER ROADPRIORY BUSINESS PARKBEDFORDMK44 3WH,2017-02-24T00:00:00,
GB505174373,ARIZONA MICROCHIP,true,MICROCHIP LIMITED,OK,MICROCHIP HOUSE720 WHARFEDALE ROADWINNERSH TRIANGLEWOKINGHAMBERKSHIRERG41 5TP,2017-02-24T00:00:00,
GB618212659,Intercall  Conferencing Services Lt,false,,OK,,2017-02-24T00:00:00,Invalid VAT number valid format=GBXX999NNNNNNN
GB655131845,Caparo AP Braking LTD,false,,OK,,2017-02-24T00:00:00,Invalid VAT number valid format=GBXX999NNNNNNN
GB655134836,JH Lavender & Co Ltd,true,J H LAVENDER (HOLDINGS) LIMITED,PARTIAL,HALL GREEN WORKSCRANKHALL LANEWEST BROMWICHWEST MIDLANDSB71 3JZ,2017-02-24T00:00:00,
GB697585556,HCL Great Britain Ltd.,false,,OK,,2017-02-24T00:00:00,Invalid VAT number valid format=GBXX999NNNNNNN
GB733384040,ON SEMICONDUCTOR LIMITED,true,ON SEMICONDUCTOR LIMITED,OK,SIENA COURTBROADWAYMAIDENHEADSL6 1NJ,2017-02-24T00:00:00,
GB785399463,Southco Manufacturing Ltd.,false,,OK,,2017-02-24T00:00:00,Invalid VAT number valid format=GBXX999NNNNNNN
GB812218073,D & P Designs Ltd & MG Engraving,true,D+P SIGNS LTD,PARTIAL,135 SOMERSET ROADRADFORDCOVENTRYCV1 4EF,2017-02-24T00:00:00,
